Shop_ID,Kod,Ilosc,StawkaVAT,shop_zn,shop_sb,shop_sn,data
461,35142090256,3.22,0.0,4.87,5.69,5.69,2024-01-02
461,35142089502,3.22,0.0,9.17,12.6,12.6,2024-01-02
461,4426558515000,10.0,23.0,1.94,3.29,2.67,2024-01-02
461,4425250515064,10.0,0.0,3.35,4.69,4.69,2024-01-02
461,35142089502,2.14,0.0,6.34,8.69,8.69,2024-01-02
461,4431172890009,4.0,0.0,11.83,16.57,16.57,2024-01-02
461,35142087702,1.12,0.0,4.43,5.85,5.85,2024-01-02
461,4086750082256,5.0,23.0,4.71,8.38,6.8,2024-01-02
461,5716657808759,7.0,0.0,3.82,5.62,5.62,2024-01-02
461,35142089436,5.14,0.0,6.59,8.36,8.36,2024-01-02
461,35142091275,4.12,0.0,3.35,4.43,4.43,2024-01-02
461,4427820527209,8.0,0.0,2.66,4.16,4.16,2024-01-02
461,4427820527220,2.0,0.0,2.14,3.34,3.34,2024-01-02
461,35142089502,1.28,0.0,12.43,17.08,17.08,2024-01-02
461,4431172891131,4.0,0.0,8.38,12.2,12.2,2024-01-02
461,4425462759032,7.0,23.0,2.9,5.31,4.32,2024-01-02
461,4425713476449,5.0,8.0,13.24,23.77,21.98,2024-01-02
461,4430857029246,3.0,0.0,11.9,15.53,15.53,2024-01-02
461,4431172894951,3.0,0.0,10.47,15.04,15.04,2024-01-02
461,5832750001626,4.09,0.0,4.72,6.58,6.58,2024-01-02
461,4430692386966,4.0,23.0,1.34,2.99,2.45,2024-01-02
461,4427243334890,9.0,0.0,7.32,9.29,9.29,2024-01-02
461,4427243325075,10.0,0.0,6.07,7.65,7.65,2024-01-02
461,4426871250027,2.0,0.0,2.16,3.1,3.1,2024-01-02
461,4427820528236,9.0,0.0,0.93,1.53,1.53,2024-01-02
461,35142088848,7.23,0.0,3.99,6.76,6.76,2024-01-02
461,4425009000174,8.0,0.0,8.17,11.93,11.93,2024-01-02
461,3010875023251,7.0,0.0,1.67,2.37,2.37,2024-01-02
461,3010875023251,9.0,0.0,2.54,3.62,3.62,2024-01-02
461,3010875023251,7.0,0.0,1.73,2.46,2.46,2024-01-02
461,3010875023251,9.0,0.0,2.46,3.5,3.5,2024-01-02
461,35142089502,1.17,0.0,8.83,12.12,12.12,2024-01-02
461,5832750008749,4.2,0.0,7.23,9.83,9.83,2024-01-02
461,4428677250507,2.0,0.0,6.21,8.74,8.74,2024-01-02
461,4431172894951,6.0,0.0,7.76,11.15,11.15,2024-01-02
461,35142089188,1.06,0.0,3.12,4.3,4.3,2024-01-02
461,35142085431,9.0,0.0,1.28,1.79,1.79,2024-01-02
461,35142097521,4.0,0.0,1.89,2.5,2.5,2024-01-02
461,5832750001626,1.22,0.0,13.59,18.96,18.96,2024-01-02
461,4425225412619,5.0,23.0,4.59,8.55,6.96,2024-01-02
461,4425518273284,3.0,0.0,3.13,4.35,4.35,2024-01-02
461,4427820527209,9.0,0.0,2.0,3.12,3.12,2024-01-02
461,35142089436,2.14,0.0,4.69,5.95,5.95,2024-01-02
461,4425250515087,8.0,0.0,6.17,8.68,8.68,2024-01-02
461,35142089140,2.32,0.0,12.18,19.05,19.05,2024-01-02
461,35142085431,5.0,0.0,2.57,3.6,3.6,2024-01-02
461,35142097521,4.0,0.0,0.74,0.98,0.98,2024-01-02
461,35142097746,4.0,0.0,2.08,2.6,2.6,2024-01-02
461,3510004427,4.21,0.0,13.89,17.39,17.39,2024-01-02
461,35142089976,2.43,0.0,4.95,4.95,4.95,2024-01-02
461,35142089976,7.67,0.0,8.24,8.24,8.24,2024-01-02
461,35142089976,4.66,0.0,5.28,5.28,5.28,2024-01-02
461,5832750008749,6.28,0.0,5.72,7.78,7.78,2024-01-02
461,4427243334895,3.0,0.0,5.91,7.55,7.55,2024-01-02
461,4427715916378,3.0,23.0,10.91,14.14,11.5,2024-01-02
461,4425258026325,10.0,8.0,2.76,4.42,4.09,2024-01-02
461,4430857029246,10.0,0.0,9.37,12.23,12.23,2024-01-02
461,4427820525141,9.0,0.0,2.12,2.37,2.37,2024-01-02
461,4427243330263,4.0,0.0,7.11,8.98,8.98,2024-01-02
461,4427243325785,9.0,0.0,2.79,3.56,3.56,2024-01-02
461,4425518273284,3.0,0.0,3.14,4.36,4.36,2024-01-02
461,30229542,2.0,23.0,15.94,20.85,16.95,2024-01-02
461,31550341,2.0,23.0,15.87,20.71,16.84,2024-01-02
461,35142092292,7.34,0.0,14.31,18.67,18.67,2024-01-02
461,4427243325042,4.0,0.0,2.83,3.59,3.59,2024-01-02
461,4427820527191,3.0,0.0,6.11,9.55,9.55,2024-01-02
461,4425147773501,7.0,0.0,5.45,7.57,7.57,2024-01-02
461,35142097521,4.0,0.0,2.39,3.15,3.15,2024-01-02
461,4430857029400,2.0,0.0,5.73,7.43,7.43,2024-01-02
461,4427174356698,3.0,0.0,3.15,4.96,4.96,2024-01-02
461,4426019328020,12.0,23.0,20.88,42.01,34.19,2024-01-02
461,35142083953,8.94,0.0,36.02,46.28,46.28,2024-01-02
461,35142089502,6.2,0.0,11.83,16.24,16.24,2024-01-02
461,4427820527928,4.0,0.0,1.2,1.64,1.64,2024-01-02
461,4432492722019,8.0,8.0,2.93,4.37,4.05,2024-01-02
461,4425476250011,10.0,23.0,2.09,3.48,2.82,2024-01-02
461,4427243325785,6.0,0.0,7.42,9.48,9.48,2024-01-02
461,5832750018903,9.25,0.0,7.67,11.8,11.8,2024-01-02
461,44271778,9.0,23.0,2.73,5.18,4.21,2024-01-02
461,44304237,7.0,23.0,13.81,17.92,14.57,2024-01-02
461,44304215,8.0,23.0,14.09,18.29,14.87,2024-01-02
461,44304215,10.0,23.0,15.71,20.39,16.57,2024-01-02
461,44304237,3.0,23.0,19.3,25.05,20.37,2024-01-02
461,35142089982,6.12,0.0,2.22,3.17,3.17,2024-01-02
461,35142085428,8.0,0.0,3.08,3.9,3.9,2024-01-02
461,35142091859,3.0,0.0,4.49,5.81,5.81,2024-01-02
461,4427820527901,6.0,23.0,1.76,3.05,2.49,2024-01-02
461,35142083890,7.6,0.0,13.85,16.31,16.31,2024-01-02
461,4430403756952,2.0,23.0,1.93,3.29,2.68,2024-01-02
461,4425428928214,7.0,0.0,6.97,10.25,10.25,2024-01-02
461,60039570,11.0,0.0,4.56,7.95,7.95,2024-01-02
